,YearMonthDay,Year,Month,YearMonth,reporterCode,flowCode,partnerISO,HS4,HS4 Description,cifvalue,fobvalue,primaryValue
C,20200101,2020,1,202001,USA,Export,Afghanistan,TOTAL,All Commodities,57945362,57945362,4
C,20200101,2020,1,202001,USA,Export,Albania,TOTAL,All Commodities,3751018,3751018,4
C,20200101,2020,1,202001,USA,Export,Algeria,TOTAL,All Commodities,73749612,73749612,4
C,20200101,2020,1,202001,USA,Export,Andorra,TOTAL,All Commodities,392320,392320,4
C,20200101,2020,1,202001,USA,Export,Angola,TOTAL,All Commodities,35210668,35210668,4
C,20200101,2020,1,202001,USA,Export,Antigua and Barbuda,TOTAL,All Commodities,38820390,38820390,4
C,20200101,2020,1,202001,USA,Export,Azerbaijan,TOTAL,All Commodities,20073831,20073831,4
C,20200101,2020,1,202001,USA,Export,Argentina,TOTAL,All Commodities,522737056,522737056,4
C,20200101,2020,1,202001,USA,Export,Australia,TOTAL,All Commodities,1721963437,1721963437,4
C,20200101,2020,1,202001,USA,Export,Austria,TOTAL,All Commodities,239476759,239476759,4
C,20200101,2020,1,202001,USA,Export,Bahamas,TOTAL,All Commodities,223912302,223912302,4
C,20200101,2020,1,202001,USA,Export,Bahrain,TOTAL,All Commodities,75465536,75465536,4
C,20200101,2020,1,202001,USA,Export,Bangladesh,TOTAL,All Commodities,176584614,176584614,4
C,20200101,2020,1,202001,USA,Export,Armenia,TOTAL,All Commodities,2749960,2749960,4
C,20200101,2020,1,202001,USA,Export,Barbados,TOTAL,All Commodities,45562554,45562554,4
C,20200101,2020,1,202001,USA,Export,Belgium,TOTAL,All Commodities,2594042952,2594042952,4
C,20200101,2020,1,202001,USA,Export,Bermuda,TOTAL,All Commodities,91091275,91091275,4
C,20200101,2020,1,202001,USA,Export,Bhutan,TOTAL,All Commodities,214360,214360,4
C,20200101,2020,1,202001,USA,Export,Bolivia (Plurinational State of),TOTAL,All Commodities,32262608,32262608,4
C,20200101,2020,1,202001,USA,Export,Bosnia Herzegovina,TOTAL,All Commodities,669922,669922,4
C,20200101,2020,1,202001,USA,Export,Botswana,TOTAL,All Commodities,19172379,19172379,4
C,20200101,2020,1,202001,USA,Export,Brazil,TOTAL,All Commodities,3480653620,3480653620,4
C,20200101,2020,1,202001,USA,Export,Belize,TOTAL,All Commodities,23591803,23591803,4
C,20200101,2020,1,202001,USA,Export,Br. Indian Ocean Terr.,TOTAL,All Commodities,435203,435203,4
C,20200101,2020,1,202001,USA,Export,Solomon Isds,TOTAL,All Commodities,498996,498996,4
