,Unemployment rate,YearMonth,EmpManuf,Balance,Customs Duties,Cons_Price,Prod_Price,Imp_Price,Ind_Prod
0,3.5,2023-01,12903,-97178.513103,6837.68696086,5.53953,7.63861,0.55504,0.31881
1,3.6,2023-02,12898,-78910.03227199998,6349.06241675,5.49826,5.08462,0.0,-0.16348
2,3.5,2023-03,12888,-85704.451169,6151.60656307,5.56674,1.45719,-1.63043,-0.36512
3,3.4,2023-04,12884,-95161.214178,6349.69306666,5.51436,-0.39149,-1.89702,-0.18435
4,3.6,2023-05,12869,-104658.94216799998,6373.091749050001,5.33755,-3.97432,-1.71946,-0.39957
5,3.6,2023-06,12875,-97827.01795300003,6475.488282779999,4.8536,-6.33874,-1.45719,-0.88935
6,3.5,2023-07,12862,-102968.07882599998,6909.94919388,4.70097,-4.32393,-1.18939,-0.31248
7,3.7,2023-08,12861,-101641.067132,6325.14088104,4.39914,-0.15945,-1.37363,-0.25421
8,3.7,2023-09,12872,-96910.141229,6678.44010914,4.12875,0.18937,-1.19485,-0.26725
9,3.9,2023-10,12837,-105878.89333199998,6902.73748869,4.0274,-1.93324,-1.37868,-0.7743
10,3.7,2023-11,12859,-96648.76608500001,6296.206194390001,4.01798,-2.53376,-0.73937,-0.09044
11,3.8,2023-12,12872,-86441.41985800001,5744.45285498,3.91547,-0.75434,-1.10497,0.83866
12,3.7,2024-01,12875,-100381.354816,6476.62597612,3.85835,-2.05556,-0.55198,-1.27625
13,3.9,2024-02,12852,-81981.07883100002,6208.38823055,3.76196,-0.40632,-0.73394,-0.35433
14,3.9,2024-03,12836,-86874.62281599999,6064.284893659999,3.81619,0.21528,-0.36832,-0.55731
15,3.9,2024-04,12833,-107067.85760799999,6366.50872777,3.62603,1.12357,0.27624,-0.99711
16,3.9,2024-05,12825,-109629.91167799997,5224.66170185,3.39442,1.03856,0.18416,-0.065
17,4.1,2024-06,12814,-98406.74943600001,6323.34466886,3.26542,0.78768,0.73937,0.77347
18,4.2,2024-07,12806,-127170.393973,7133.48819071,3.23019,1.79804,0.92593,-0.92263
19,4.2,2024-08,12772,-105153.596563,7046.95154896,3.2851,-0.76665,1.20706,-0.405
20,4.1,2024-09,12758,-122844.38021399998,7249.25946835,3.28236,-2.38897,1.67442,-1.20044
21,4.1,2024-10,12697,-119881.699835,7297.25697625,3.29869,-0.76389,2.14352,-0.99474
22,4.2,2024-11,12711,-107345.85538300002,6711.86903796,3.28594,0.05639,1.95531,-1.55794
23,4.1,2024-12,12693,-126272.38905399997,6814.38056422,3.21333,1.15799,1.76909,-0.27415
24,4.0,2025-01,12673,-161234.218625,7341.41593658,3.28297,1.88727,1.11008,0.849
25,4.2,2025-02,12671,-127672.14315999998,7246.81267538,3.13756,0.81153,1.10906,0.81199
26,4.2,2025-03,12666,-159582.164919,8167.908459560001,2.80878,0.08496,1.01664,0.58025
27,4.2,2025-04,12662,-95029.716013,15633.91734871,2.77602,-0.36241,0.73462,0.88235
28,4.3,2025-05,12651,-100758.63400899997,22172.56453921,2.76584,1.04155,0.82721,0.10162
29,4.1,2025-06,12636,-92800.64769600003,26631.66423177,2.9109,1.73381,0.45872,0.57932
30,4.3,2025-07,12625,-125395.077491,27670.0540314,3.05449,1.52013,0.55046,1.91877
31,4.3,2025-08,12615,-90654.02880099998,29502.94274954,3.11181,1.81645,0.73394,1.18868
32,4.4,2025-09,12612,-97424.78808,29674.95332224,3.01997,3.36325,0.45746,1.90114
33,,2025-10,12603,-78632.09919499999,31353.50108111,,2.50348,,1.79703
34,4.5,2025-11,12593,,,2.59904,3.1731,0.82192,2.09986
35,4.4,2025-12,12585,,,2.64648,2.32848,1.18939,1.29805
