,partnerISO,2020,2021,2022,2023,2024
0,Afghanistan,653.56,224.64,-4.780000000000001,28.749999999999996,-12.32
1,Albania,8.079999999999998,26.939999999999998,-34.599999999999994,58.5,8.569999999999993
2,Algeria,227.43999999999994,-1123.67,-1666.8700000000001,-1936.4199999999998,-1526.3600000000001
3,Andorra,-1.7600000000000002,-3.54,-6.470000000000001,-47.33,1.58
4,Angola,-26.83000000000004,-639.86,-1025.03,-609.9100000000001,-1230.1599999999999
5,Anguilla,45.370000000000005,80.28,80.71000000000001,68.97,71.19
6,Antigua and Barbuda,307.9,526.5,1018.21,963.9100000000001,549.72
7,Argentina,1571.9300000000003,2347.29,5743.209999999999,4711.68,1760.25
8,Armenia,-42.56,-45.470000000000006,112.64999999999999,50.03999999999999,31.75
9,Aruba,274.3,508.1,624.87,621.59,714.51
10,Australia,9138.67,14561.51,13582.23,18358.92,18016.319999999996
11,Austria,-8368.869999999999,-11310.220000000001,-13841.900000000001,-13963.489999999998,-13453.010000000002
12,Azerbaijan,122.78000000000002,24.549999999999997,22.649999999999977,469.93999999999994,92.31
13,Bahamas,2580.95,2442.2200000000003,3723.7300000000005,3707.5399999999995,3800.59
14,Bahrain,215.40999999999997,-302.1299999999999,-1002.7300000000001,444.8900000000001,373.95000000000005
15,Bangladesh,-4464.049999999999,-6458.5199999999995,-9281.32,-6416.710000000001,-6566.96
16,Barbados,466.94999999999993,669.74,758.99,665.67,720.88
17,Belarus,-242.71,-288.37,-178.26,-33.08,-10.610000000000001
18,Belgium,6255.0,12114.239999999998,7943.989999999998,15326.84,5903.440000000002
19,Belize,340.29999999999995,370.64,476.15999999999997,590.6999999999999,504.08000000000004
20,Benin,191.73000000000002,310.6,284.49,226.99,162.95999999999998
21,Bermuda,439.87,540.36,566.27,532.49,516.57
22,Bhutan,2.4299999999999997,5.54,4.58,2.64,-0.09999999999999964
23,Bolivia (Plurinational State of),61.72000000000003,23.100000000000023,-125.88,81.21000000000004,-114.29000000000002
24,Bosnia Herzegovina,-80.44,-120.33999999999999,-151.69,-135.02,-133.17999999999998
25,Botswana,-129.57,-204.95,-415.55,-432.93,-310.68
26,Br. Indian Ocean Terr.,7.12,5.67,4.430000000000001,2.68,4.99
27,Br. Virgin Isds,275.62,271.35999999999996,520.9100000000001,443.03,252.45999999999998
28,Brazil,10625.239999999998,14039.029999999999,12733.049999999996,3809.550000000003,5483.830000000002
29,Brunei Darussalam,28.72,79.09,11.319999999999993,-105.25,-121.35000000000001
30,Bulgaria,-509.64,-864.34,-1049.3899999999999,-1055.0800000000002,-1041.2
31,Burkina Faso,67.06,93.36,59.669999999999995,41.98,49.67
32,Burundi,1.42,0.56,-3.539999999999999,-2.4300000000000006,2.8100000000000005
33,Cabo Verde,1.8899999999999997,6.9399999999999995,8.32,55.339999999999996,7.56
34,Cambodia,-6539.9,-8957.57,-12738.17,-11822.119999999999,-13043.2
35,Cameroon,-258.35,-66.04999999999998,86.20000000000002,76.19999999999999,-67.26999999999998
36,Canada,-21173.929999999993,-56977.94,-89839.66999999998,-76844.81,-72792.36000000004
37,Cayman Isds,727.98,1162.28,1387.46,1250.6,1225.27
38,Central African Rep.,21.34,15.700000000000001,24.240000000000002,14.809999999999999,33.6
39,Chad,42.53,37.72,76.45,-54.93000000000001,-22.790000000000006
40,Chile,1849.5300000000007,1379.590000000002,6814.110000000001,2100.420000000002,754.9300000000003
41,China,-332515.70999999996,-390466.17,-424026.77,-300211.86,-319074.62
42,"China, Hong Kong SAR",15945.399999999998,25570.85,20805.649999999998,23486.800000000003,21817.73
43,"China, Macao SAR",79.06,65.78,74.33000000000001,387.86999999999995,163.03000000000003
44,Christmas Isds,1.5,-0.78,0.5099999999999999,44.42,0.2699999999999998
45,Cocos Isds,-1.6600000000000001,-2.0,0.7199999999999998,-1.64,1.4500000000000002
46,Colombia,752.7000000000007,2720.7299999999996,1559.1299999999974,594.4500000000007,604.3500000000022
47,Comoros,-2.0300000000000002,-4.63,-3.3099999999999996,-2.39,2.87
48,Congo,-37.510000000000005,58.08,26.75,-103.9,195.51999999999998
49,Cook Isds,0.77,2.91,5.24,4.800000000000001,5.970000000000001
50,Costa Rica,110.72999999999956,468.3699999999999,-742.75,-1689.2299999999996,-2329.1399999999994
51,Croatia,-297.95000000000005,-79.28999999999996,910.6199999999999,102.60000000000002,-38.49000000000012
52,Cuba,161.89000000000001,320.56,366.15000000000003,400.27,581.61
53,Curaçao,290.32,313.88,442.08000000000004,429.54,789.08
54,Cyprus,42.35,157.01999999999998,48.58,133.26000000000002,123.02999999999999
55,Czechia,-2721.7799999999997,-2957.9,-4055.46,-3207.3,-4032.9799999999996
56,Côte d'Ivoire,-706.4300000000001,-954.74,-613.29,-457.97,-456.38
57,Dem. People's Rep. of Korea,0.0,0.0,-0.06,0.19,1.47
58,Dem. Rep. of the Congo,122.21,-46.54000000000002,-27.669999999999987,-90.84000000000003,-74.14000000000001
59,Denmark,-8779.0,-8737.76,-8933.510000000002,-6571.48,-4437.4
60,Djibouti,154.20999999999998,161.29999999999998,132.82999999999998,143.23999999999998,104.41
61,Dominica,113.25,520.2099999999999,195.51,69.84,56.419999999999995
62,Dominican Rep.,2258.67,3898.6099999999997,6755.7,5785.7699999999995,5355.339999999999
63,Ecuador,-2149.8600000000006,-3628.0600000000013,-3440.1800000000003,-1272.7399999999998,-1568.7299999999996
64,Egypt,2455.37,2280.63,3565.02,1946.21,3373.7500000000005
65,El Salvador,627.0999999999999,1493.73,2027.3900000000003,1685.8599999999997,2135.45
66,Equatorial Guinea,-48.61,-230.55,-174.55,-210.91,-42.47
67,Eritrea,18.39,18.87,32.3,31.279999999999998,36.599999999999994
68,Estonia,-778.0799999999999,-1529.2600000000002,-1023.4000000000001,-445.41999999999996,-736.22
69,Eswatini,1.4800000000000004,12.98,48.25,6.819999999999997,22.8
70,Ethiopia,366.86,-37.8900000000001,358.54999999999984,695.2499999999999,528.98
71,FS Micronesia,54.949999999999996,46.67,60.78,50.059999999999995,48.02
72,Falkland Isds (Malvinas),-11.45,-12.33,-31.66,-27.21,-19.24
73,Faroe Isds,-148.41,-217.4,-289.57,-299.69,-284.86
74,Fiji,-227.34999999999997,-122.1,-324.66999999999996,-258.14,-252.34999999999997
75,Finland,-3512.3099999999995,-5314.2,-6225.23,-4716.49,-5682.9299999999985
76,Fr. South Antarctic Terr.,0.81,4.22,2.29,-2.7699999999999996,2.21
77,France,-15597.789999999997,-21010.47,-12226.419999999998,-13665.739999999998,-16746.47
78,French Polynesia,87.98,43.53999999999999,101.27000000000001,118.25,101.60999999999999
79,Gabon,7.8700000000000045,-29.349999999999994,-104.58000000000001,91.33999999999999,-12.120000000000005
80,Gambia,40.52,52.96,66.81,68.55,78.39
81,Georgia,278.76,469.94999999999993,942.1500000000001,1393.6399999999999,1559.75
82,Germany,-60229.79,-73388.21,-78946.73,-86486.62999999999,-88010.28
83,Ghana,72.09000000000003,-795.85,-1816.77,-887.4899999999999,-244.62000000000012
84,Gibraltar,1047.0700000000002,768.1999999999999,187.35,249.89000000000001,650.16
85,Greece,-27.079999999999927,-237.83999999999992,-276.1800000000003,-427.5899999999999,209.00999999999976
86,Greenland,-22.18,-28.5,-28.109999999999996,-21.11,15.219999999999999
