partnerISO,2020,2021,2022,2023,2024
Afghanistan,670.89,247.41,21.75,49.76,11.45
Albania,56.9,97.56,117.84,139.25,141.72
Algeria,726.29,783.63,1200.59,1214.45,1014.5
Andorra,3.73,4.69,3.51,6.21,4.91
Angola,470.52,449.39,651.45,595.28,682.35
Anguilla,47.06,80.98,86.51,70.2,72.49
Antigua and Barbuda,312.38,556.32,1027.92,977.34,573.76
Argentina,5950.06,7739.47,12850.39,11441.93,9171.0
Armenia,28.0,44.46,192.94,188.75,160.78
Aruba,309.01,537.09,639.64,637.59,725.45
Australia,23473.18,26427.48,30197.63,33672.03,34582.88
Austria,3398.71,3931.73,4744.18,5500.81,4434.82
Azerbaijan,162.08,133.84,182.76,541.55,255.07
Bahamas,2868.35,2911.42,5589.68,5582.23,5639.72
Bahrain,885.31,936.19,952.42,1676.25,1646.23
Bangladesh,1844.19,2337.37,2813.87,2251.99,2213.96
Barbados,516.79,715.75,813.49,715.54,771.47
Belarus,112.28,216.48,39.34,17.3,10.6
Belgium,27620.56,33652.84,35523.38,38827.85,34177.4
Belize,394.21,440.86,554.27,648.55,590.45
Benin,197.55,319.06,287.81,240.74,216.45
Bermuda,465.08,551.21,581.3,557.98,540.35
Bhutan,2.86,5.92,4.89,4.29,3.43
Bolivia (Plurinational State of),450.8,527.82,519.84,504.55,400.96
Bosnia Herzegovina,21.57,51.67,29.43,25.29,52.99
Botswana,48.68,52.88,45.49,68.31,104.33
Br. Indian Ocean Terr.,7.3,6.07,4.82,3.02,5.46
Br. Virgin Isds,284.15,275.71,525.7,462.69,312.88
Brazil,35046.88,46882.04,53577.71,44807.82,49666.97
Brunei Darussalam,119.02,99.28,110.25,141.54,127.21
Bulgaria,374.88,339.36,522.72,510.83,488.25
Burkina Faso,72.27,97.21,66.66,46.22,54.36
Burundi,5.41,4.46,5.08,4.05,6.61
Cabo Verde,6.67,12.59,15.65,61.72,12.25
Cambodia,343.63,413.67,449.19,305.35,321.63
Cameroon,194.37,152.61,202.08,214.91,193.06
Canada,255021.62,306926.75,354887.05,352760.09,348413.97
Cayman Isds,748.66,1206.56,1437.92,1281.05,1276.29
Central African Rep.,22.33,17.51,25.42,16.93,35.07
Chad,46.15,41.92,81.53,31.55,59.94
Chile,12766.53,17339.99,23327.99,18723.68,18167.56
China,124648.51,151065.18,153837.02,147805.52,143545.72
"China, Hong Kong SAR",23957.6,29803.71,25815.87,27744.74,27869.86
"China, Macao SAR",183.0,219.45,249.61,526.06,274.97
Christmas Isds,1.98,0.74,1.44,49.01,2.11
Cocos Isds,0.12,0.77,2.03,0.45,2.58
Colombia,12063.01,16451.44,20573.03,17552.37,19037.61
Comoros,1.41,1.76,2.24,0.96,4.74
Congo,102.46,112.19,179.93,199.72,237.14
Cook Isds,3.25,4.19,6.29,5.36,6.86
Costa Rica,5733.23,7311.57,8525.37,9144.1,9676.79
Croatia,317.99,757.97,1769.57,1032.21,993.9
Cuba,176.8,323.46,371.72,404.38,586.5
Curaçao,319.25,357.54,493.42,500.49,823.5
Cyprus,103.12,224.22,123.1,188.3,183.42
Czechia,2985.01,3657.43,3797.92,4535.71,4279.32
Côte d'Ivoire,208.07,318.75,504.8,545.43,596.57
Dem. People's Rep. of Korea,0.0,0.0,0.0,0.19,1.53
Dem. Rep. of the Congo,152.91,225.13,154.25,189.01,253.29
Denmark,3057.87,3615.91,4500.86,5254.75,5805.43
Djibouti,195.16,194.14,180.23,191.42,144.98
Dominica,115.13,522.81,197.22,72.11,58.8
Dominican Rep.,7604.75,10444.4,13853.34,13062.57,13081.65
Ecuador,4234.61,5019.48,7901.92,7947.68,7526.66
Egypt,4759.08,5786.37,6552.8,4486.97,6092.02
El Salvador,2618.7,4120.75,5019.47,4260.24,4544.99
Equatorial Guinea,96.89,51.42,70.11,99.22,95.38
Eritrea,18.68,19.35,32.75,31.72,37.48
Estonia,323.04,423.88,383.07,359.22,361.02
Eswatini,21.41,37.11,72.41,38.12,46.11
Ethiopia,907.32,585.43,1094.37,1210.86,1017.71
FS Micronesia,57.94,49.28,63.15,52.01,50.49
Falkland Isds (Malvinas),0.31,0.34,0.16,0.47,4.09
