partnerISO,2020,2021,2022,2023,2024
Afghanistan,17.33,22.77,26.53,21.01,23.77
Albania,48.82,70.62,152.44,80.75,133.15
Algeria,498.85,1907.3,2867.46,3150.87,2540.86
Andorra,5.49,8.23,9.98,53.54,3.33
Angola,497.35,1089.25,1676.48,1205.19,1912.51
Anguilla,1.69,0.7,5.8,1.23,1.3
Antigua and Barbuda,4.48,29.82,9.71,13.43,24.04
Argentina,4378.13,5392.18,7107.18,6730.25,7410.75
Armenia,70.56,89.93,80.29,138.71,129.03
Aruba,34.71,28.99,14.77,16.0,10.94
Australia,14334.51,11865.97,16615.4,15313.11,16566.56
Austria,11767.58,15241.95,18586.08,19464.3,17887.83
Azerbaijan,39.3,109.29,160.11,71.61,162.76
Bahamas,287.4,469.2,1865.95,1874.69,1839.13
Bahrain,669.9,1238.32,1955.15,1231.36,1272.28
Bangladesh,6308.24,8795.89,12095.19,8668.7,8780.92
Barbados,49.84,46.01,54.5,49.87,50.59
Belarus,354.99,504.85,217.6,50.38,21.21
Belgium,21365.56,21538.6,27579.39,23501.01,28273.96
Belize,53.91,70.22,78.11,57.85,86.37
Benin,5.82,8.46,3.32,13.75,53.49
Bermuda,25.21,10.85,15.03,25.49,23.78
Bhutan,0.43,0.38,0.31,1.65,3.53
Bolivia (Plurinational State of),389.08,504.72,645.72,423.34,515.25
Bosnia Herzegovina,102.01,172.01,181.12,160.31,186.17
Botswana,178.25,257.83,461.04,501.24,415.01
Br. Indian Ocean Terr.,0.18,0.4,0.39,0.34,0.47
Br. Virgin Isds,8.53,4.35,4.79,19.66,60.42
Brazil,24421.64,32843.01,40844.66,40998.27,44183.14
Brunei Darussalam,90.3,20.19,98.93,246.79,248.56
Bulgaria,884.52,1203.7,1572.11,1565.91,1529.45
Burkina Faso,5.21,3.85,6.99,4.24,4.69
Burundi,3.99,3.9,8.62,6.48,3.8
Cabo Verde,4.78,5.65,7.33,6.38,4.69
Cambodia,6883.53,9371.24,13187.36,12127.47,13364.83
Cameroon,452.72,218.66,115.88,138.71,260.33
Canada,276195.55,363904.69,444726.72,429604.9,421206.33
Cayman Isds,20.68,44.28,50.46,30.45,51.02
Central African Rep.,0.99,1.81,1.18,2.12,1.47
Chad,3.62,4.2,5.08,86.48,82.73
Chile,10917.0,15960.4,16513.88,16623.26,17412.63
China,457164.22,541531.35,577863.79,448017.38,462620.34
"China, Hong Kong SAR",8012.2,4232.86,5010.22,4257.94,6052.13
"China, Macao SAR",103.94,153.67,175.28,138.19,111.94
Christmas Isds,0.48,1.52,0.93,4.59,1.84
Cocos Isds,1.78,2.77,1.31,2.09,1.13
Colombia,11310.31,13730.71,19013.9,16957.92,18433.26
Comoros,3.44,6.39,5.55,3.35,1.87
Congo,139.97,54.11,153.18,303.62,41.62
Cook Isds,2.48,1.28,1.05,0.56,0.89
Costa Rica,5622.5,6843.2,9268.12,10833.33,12005.93
Croatia,615.94,837.26,858.95,929.61,1032.39
Cuba,14.91,2.9,5.57,4.11,4.89
Curaçao,28.93,43.66,51.34,70.95,34.42
Cyprus,60.77,67.2,74.52,55.04,60.39
Czechia,5706.79,6615.33,7853.38,7743.01,8312.3
Côte d'Ivoire,914.5,1273.49,1118.09,1003.4,1052.95
Dem. People's Rep. of Korea,0.0,0.0,0.06,0.0,0.06
Dem. Rep. of the Congo,30.7,271.67,181.92,279.85,327.43
Denmark,11836.87,12353.67,13434.37,11826.23,10242.83
Djibouti,40.95,32.84,47.4,48.18,40.57
Dominica,1.88,2.6,1.71,2.27,2.38
Dominican Rep.,5346.08,6545.79,7097.64,7276.8,7726.31
Ecuador,6384.47,8647.54,11342.1,9220.42,9095.39
Egypt,2303.71,3505.74,2987.78,2540.76,2718.27
El Salvador,1991.6,2627.02,2992.08,2574.38,2409.54
Equatorial Guinea,145.5,281.97,244.66,310.13,137.85
Eritrea,0.29,0.48,0.45,0.44,0.88
Estonia,1101.12,1953.14,1406.47,804.64,1097.24
Eswatini,19.93,24.13,24.16,31.3,23.31
Ethiopia,540.46,623.32,735.82,515.61,488.73
FS Micronesia,2.99,2.61,2.37,1.95,2.47
Falkland Isds (Malvinas),11.76,12.67,31.82,27.68,23.33
Faroe Isds,151.2,220.44,291.12,302.9,286.23
Fiji,267.15,302.81,388.52,358.78,347.03
Finland,5098.57,7026.24,8875.88,7622.23,8246.96
Fr. South Antarctic Terr.,0.07,0.17,0.09,4.56,0.04
France,43871.78,51688.76,59155.21,58921.67,61138.29
French Polynesia,22.56,85.56,46.57,45.59,43.59
Gabon,83.63,124.52,238.09,88.95,183.19
Gambia,1.16,1.29,1.5,1.7,2.17
Georgia,157.33,201.96,294.09,119.45,176.71
Germany,117393.02,138194.63,151496.44,162959.18,163392.09
Ghana,759.86,1779.01,2791.27,1738.32,1211.92
Gibraltar,22.36,3.86,2.49,0.94,0.44
Greece,1412.36,1828.83,2446.07,2211.02,2401.09
Greenland,29.2,41.64,35.48,28.01,33.2
Grenada,13.87,16.99,17.84,17.28,15.9
Guatemala,4170.61,5074.87,5728.09,5296.76,5464.65
Guinea,9.89,11.14,7.94,14.15,6.57
Guinea-Bissau,0.92,0.21,0.02,0.63,0.13
Guyana,724.26,2291.36,2920.1,3369.05,5510.41
Haiti,861.81,1144.19,1055.41,849.37,641.77
Heard Island and McDonald Islands,0.02,0.03,1.5,0.25,0.02
Holy See (Vatican City State),1.68,0.8,4.03,1.65,0.18
Honduras,4073.69,5448.72,6355.29,5838.26,5799.93
Hungary,5388.42,7215.07,7817.85,10995.43,12841.62
Iceland,453.32,618.62,778.25,712.56,1114.17
