Section Title,partnerISO,2020,2021,2022,2023,2024
Animal or Vegetable Fats and Oils,Afghanistan,5.38,0.0,0.0,0.0,0.0
Animal or Vegetable Fats and Oils,Albania,0.0,0.0,0.0,0.0,0.37
Animal or Vegetable Fats and Oils,Algeria,355.12,620.14,0.5,0.75,704.29
Animal or Vegetable Fats and Oils,Angola,0.24,0.0,2.83,2.89,0.11
Animal or Vegetable Fats and Oils,Anguilla,1.91,6.13,8.85,7.61,7.92
Animal or Vegetable Fats and Oils,Antigua and Barbuda,7.59,15.28,21.6,18.47,12.38
Animal or Vegetable Fats and Oils,Argentina,78.13,75.8,82.51,88.26,46.6
Animal or Vegetable Fats and Oils,Armenia,0.0,0.07,0.1,2.93,0.12
Animal or Vegetable Fats and Oils,Aruba,42.81,80.33,86.08,98.0,84.64
Animal or Vegetable Fats and Oils,Australia,529.84,271.64,404.53,311.76,190.3
Animal or Vegetable Fats and Oils,Austria,2.11,4.29,3.89,7.33,3.45
Animal or Vegetable Fats and Oils,Azerbaijan,0.09,0.0,0.0,0.0,0.16
Animal or Vegetable Fats and Oils,Bahamas,171.52,269.95,333.01,316.77,301.64
Animal or Vegetable Fats and Oils,Bahrain,24.31,32.72,42.94,39.56,24.89
Animal or Vegetable Fats and Oils,Bangladesh,2.56,3.43,4.03,4.49,80.32
Animal or Vegetable Fats and Oils,Barbados,22.33,26.9,33.27,35.99,64.22
Animal or Vegetable Fats and Oils,Belarus,3.04,0.0,0.0,0.0,0.0
Animal or Vegetable Fats and Oils,Belgium,658.8,924.88,1033.57,786.18,626.42
Animal or Vegetable Fats and Oils,Belize,119.1,171.61,198.0,249.95,197.97
Animal or Vegetable Fats and Oils,Benin,4.92,4.47,28.51,3.87,6.49
Animal or Vegetable Fats and Oils,Bermuda,32.72,43.47,52.83,56.75,49.62
Animal or Vegetable Fats and Oils,Bolivia (Plurinational State of),0.24,0.2,1.13,0.07,0.28
Animal or Vegetable Fats and Oils,Br. Indian Ocean Terr.,0.43,0.43,0.5,0.76,1.21
Animal or Vegetable Fats and Oils,Br. Virgin Isds,7.19,14.51,15.33,17.03,15.14
Animal or Vegetable Fats and Oils,Brazil,939.42,434.13,424.82,446.12,701.85
Animal or Vegetable Fats and Oils,Brunei Darussalam,1.03,0.0,1.28,0.33,0.0
Animal or Vegetable Fats and Oils,Bulgaria,0.96,0.97,0.87,0.86,1.68
Animal or Vegetable Fats and Oils,Burkina Faso,3.44,4.8,4.01,3.08,3.66
Animal or Vegetable Fats and Oils,Burundi,0.0,0.0,0.0,0.94,6.91
Animal or Vegetable Fats and Oils,Cabo Verde,0.0,0.74,0.0,0.0,0.0
Animal or Vegetable Fats and Oils,Cambodia,6.7,0.69,8.7,4.29,2.01
Animal or Vegetable Fats and Oils,Cameroon,92.47,70.48,137.01,40.33,48.81
Animal or Vegetable Fats and Oils,Canada,13358.25,17636.17,23554.24,19289.9,19558.59
