,ImportPrice_real,ProducerPrice_real,CPI_real,ImportPrice_est,ProducerPrice_est,CPI_est
2016-09-01,-0.10173,0.27397,0.26232,,,
2016-10-01,0.0,0.38251,0.23427,,,
2016-11-01,-0.10183,-0.27218,0.11789,,,
2016-12-01,0.0,0.3821,0.25245,,,
2017-01-01,0.10194,0.92442,0.40431,,,
2017-02-01,0.3055,0.32328,0.15927,,,
2017-03-01,0.20305,0.26853,-0.04672,,,
2017-04-01,0.20263,0.48206,0.12342,,,
2017-05-01,0.0,-0.15991,-0.0774,,,
2017-06-01,0.0,0.16017,0.06516,,,
2017-07-01,0.0,-0.15991,0.03276,,,
2017-08-01,0.20222,0.58729,0.38486,,,
2017-09-01,0.20182,0.63694,0.51064,,,
2017-10-01,0.20141,0.31646,0.07751,,,
2017-11-01,0.1005,0.52576,0.2668,,,
2017-12-01,-0.1004,0.0523,0.21069,,,
2018-01-01,0.40201,0.67956,0.42533,,,
2018-02-01,0.4004,0.46729,0.26923,,,
2018-03-01,0.1994,0.2584,0.01924,,,
2018-04-01,0.0995,0.6701,0.26044,,,
2018-05-01,0.19881,1.22888,0.22579,,,
2018-06-01,-0.09921,0.35407,0.09011,,,
2018-07-01,-0.0993,0.0504,0.07808,,,
2018-08-01,-0.29821,0.05038,0.17873,,,
2018-09-01,0.0,0.15106,0.20623,,,
2018-10-01,-0.0997,0.75415,0.23396,,,
2018-11-01,-0.0998,-0.998,-0.07042,,,
2018-12-01,0.0,-1.6129,0.06849,,,
2019-01-01,-0.2997,-0.46107,-0.0815,,,
2019-02-01,0.1002,0.56613,0.30013,,,
2019-03-01,-0.1001,1.02354,0.37818,,,
2019-04-01,-0.3006,0.91185,0.37597,,,
2019-05-01,-0.20101,-0.0502,0.02468,,,
2019-06-01,-0.1007,-1.05475,-0.03251,,,
2019-07-01,0.0,0.25381,0.23079,,,
2019-08-01,-0.10081,-0.55696,0.09148,,,
2019-09-01,0.0,-0.25458,0.15388,,,
2019-10-01,-0.20182,0.35733,0.28273,,,
2019-11-01,-0.10111,-0.05086,0.28154,,,
2019-12-01,0.0,-0.05089,0.29122,,,
2020-01-01,0.20243,0.10183,0.19217,,,
2020-02-01,0.10101,-0.76297,0.04747,,,
2020-03-01,0.0,-1.43516,-0.45284,,,
2020-04-01,-0.40363,-3.22413,-0.79201,,,
2020-05-01,0.0,1.50457,-0.08983,,,
2020-06-01,0.30395,0.68819,0.48475,,,
2020-07-01,0.20202,1.1041,0.50964,,,
2020-08-01,0.70565,0.36401,0.37313,,,
2020-09-01,0.5005,-0.05181,0.26261,,,
2020-10-01,0.0996,0.41472,0.12385,,,
2020-11-01,-0.0995,0.41301,0.22741,,,
2020-12-01,0.49801,1.13111,0.43463,,,
2021-01-01,0.79286,1.47433,0.245,,,
2021-02-01,0.39331,1.75351,0.33957,,,
2021-03-01,0.78355,2.36337,0.52432,,,
2021-04-01,0.68027,1.0582,0.62387,,,
2021-05-01,1.06178,2.37982,0.66351,,,
2021-06-01,0.47755,1.30172,0.84618,,,
2021-07-01,0.09506,0.73061,0.46147,,,
2021-08-01,-0.09497,0.28338,0.28429,,,
2021-09-01,0.0,0.79731,0.45255,,,
2021-10-01,0.47529,1.62664,0.96382,,,
2021-11-01,0.56764,0.72335,0.85663,,,
2021-12-01,0.47037,-0.28136,0.69052,,,
2022-01-01,1.21723,2.21884,0.6046,,,
2022-02-01,0.83256,2.48385,0.69264,,,
2022-03-01,1.2844,3.43906,1.11564,,,
2022-04-01,0.27174,1.69353,0.30834,,,
2022-05-01,-0.18067,2.73922,0.9485,,,
2022-06-01,-0.63348,2.34871,1.2561,,,
2022-07-01,-0.45537,-2.24527,-0.01492,,,
2022-08-01,-0.09149,-1.96159,0.06239,,,
2022-09-01,-0.3663,0.15786,0.42427,,,
2022-10-01,0.0,0.84918,0.55948,,,
2022-11-01,-0.55147,-0.44286,0.2614,,,
2022-12-01,0.36969,-3.08021,0.0154,,,
2023-01-01,0.09208,1.65759,0.5314,,,
2023-02-01,0.27599,0.05217,0.34285,,,
2023-03-01,-0.36697,-0.13156,0.12307,,,
2023-04-01,0.0,-0.15945,0.33927,,,
2023-05-01,0.0,-0.95622,0.16147,,,
2023-06-01,-0.36832,-0.1714,0.22418,,,
2023-07-01,-0.18484,-0.1424,0.19571,,,
2023-08-01,-0.27778,2.30571,0.48357,,,
2023-09-01,-0.1857,0.50778,0.39009,,,
2023-10-01,-0.18605,-1.28741,0.13668,,,
2023-11-01,0.0932,-1.05251,0.1469,,,
2023-12-01,0.0,-1.31077,0.19244,,,
2024-01-01,0.65177,0.32475,0.30997,,,
2024-02-01,0.09251,1.7369,0.40975,,,
2024-03-01,0.0,0.49175,0.44313,,,
2024-04-01,0.64695,0.74544,0.21707,,,
2024-05-01,-0.09183,-1.03948,0.04856,,,
2024-06-01,0.18382,-0.41927,-0.04183,,,
2024-07-01,0.0,0.85863,0.16771,,,
2024-08-01,0.0,-0.27177,0.15722,,,
2024-09-01,0.27523,-1.13538,0.21333,,,
2024-10-01,0.27447,0.35601,0.28564,,,
2024-11-01,-0.09124,-0.23461,0.28419,,,
2024-12-01,-0.18265,-0.22422,0.33994,,,
2025-01-01,0.0,1.04802,0.42726,,,
2025-02-01,0.09149,0.66275,0.22511,,,
2025-03-01,-0.09141,-0.23251,0.03316,,,
2025-04-01,0.36597,0.29512,0.16167,,,
2025-05-01,0.0,0.35494,0.09928,,,
2025-06-01,-0.18232,0.26298,0.25419,,,
2025-07-01,0.09132,0.64679,0.22835,,,
2025-08-01,0.18248,0.01932,0.34826,,,
2025-09-01,0.0,0.36658,0.29509,,,
2025-10-01,0.09066333333333333,-0.47875,0.29599000000000003,,,
2025-11-01,0.18132666666666666,0.41712,0.29689,,,
2025-12-01,0.27199,-1.04102,0.29779,,,
2026-01-01,,,,0.23904453726751396,-0.2842959384389692,0.16202468104893228
2026-02-01,,,,0.18342023042187455,-0.14629753665090783,0.1538323036987903
2026-03-01,,,,0.13465817301984692,-0.1432820249927571,0.1509145334129607
2026-04-01,,,,0.10421649873361244,-0.019096133575062384,0.1737615530691079
2026-05-01,,,,0.06464600514362509,0.09399579097854677,0.19874581940271321
2026-06-01,,,,0.01642847786623053,0.0553017304229606,0.22078590624620303
2026-07-01,,,,0.010223737624547344,0.082785313988047,0.2330370103575992
2026-08-01,,,,0.021479475756687516,0.10550122398697054,0.26308730460660196
2026-09-01,,,,0.021495613519994572,0.1676774481345364,0.2854665623609711
2026-10-01,,,,0.02827885775036166,-0.1557450426532846,0.2556624992116489
2026-11-01,,,,0.0034789230698127407,0.07586241041043185,0.26436873783883885
2026-12-01,,,,0.04411485989775822,-0.19139335684608816,0.22215226020642198
2027-01-01,,,,0.10418260258937642,-0.131956305692948,0.1966927889578529
2027-02-01,,,,0.08433354335861173,-0.023335294328398162,0.18621645134798276
2027-03-01,,,,0.06187733333082971,0.01238651169621887,0.171805204429032
2027-04-01,,,,0.05073860979512083,-0.0002178889053298474,0.15282000835330767
2027-05-01,,,,0.02540798626551429,-0.017990113905533248,0.14987902096078068
2027-06-01,,,,-0.012281664827720015,-0.010268618860999614,0.17109349579080496
2027-07-01,,,,-0.01085783060517453,-0.015040275148755854,0.1842504557900419
2027-08-01,,,,0.0059447530675691695,-0.019093576460296944,0.20996791422652922
2027-09-01,,,,0.010064632176801477,-0.030319920158176528,0.22611868880463637
2027-10-01,,,,0.01983796416250399,0.028155766463741495,0.24344643619008727
2027-11-01,,,,-0.0026593023833049404,-0.013715608768097843,0.23161069075940074
2027-12-01,,,,0.039457752575335146,0.03460200824729469,0.2220265448474989
