typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","211301088285",,"211301088285","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","4","AFG","Afghanistan","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1983434",,"1983434","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","8","ALB","Albania","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4238022",,"4238022","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","12","DZA","Algeria","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","41214545",,"41214545","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","20","AND","Andorra","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1038063",,"1038063","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","24","AGO","Angola","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","55807759",,"55807759","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","28","ATG","Antigua and Barbuda","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","252641",,"252641","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","31","AZE","Azerbaijan","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","5678387",,"5678387","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","32","ARG","Argentina","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","271501788",,"271501788","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","928211652",,"928211652","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","40","AUT","Austria","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","993111075",,"993111075","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","44","BHS","Bahamas","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","24773098",,"24773098","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","48","BHR","Bahrain","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","59265544",,"59265544","4","false","true",
"C","M","20210101","2021","1","202101","842","USA","USA","M","Import","50","BGD","Bangladesh","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","629707796",,"629707796","4","false","true",
