"indicator ",reporter_code,reporter_name,year,classification_version,product_code,partner_code,partner_name,value,source
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,960899,A000,World,3.5225,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,960891,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,950822,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,940521,A000,World,4.53333333333333,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,940320,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,940310,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,930400,A000,World,3.2,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,911320,A000,World,10,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,911290,A000,World,5.5,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,910610,A000,World,6.37,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,910219,A000,World,,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,902810,A000,World,2.74,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,902131,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,901832,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,901510,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,900890,A000,World,1.45,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,900630,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,900219,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,890510,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,870191,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,854011,A000,World,12.8571428571429,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,853990,A000,World,2.6,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,853949,A000,World,2.4,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,853932,A000,World,2.4,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,853921,A000,World,1.3,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,853529,A000,World,2,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,853229,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,852712,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,851718,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,851519,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,851120,A000,World,1.25,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,851010,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,850990,A000,World,3.8,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,850151,A000,World,1.8,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,848280,A000,World,5.8,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,848250,A000,World,5.8,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,848079,A000,World,1.55,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,848071,A000,World,1.03333333333333,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,847290,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,846420,A000,World,2,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,846330,A000,World,4.4,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,846251,A000,World,4.4,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,846249,A000,World,4.4,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,845229,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,845110,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,844513,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,844511,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,843780,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,843280,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,843139,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,842930,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,842890,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,842699,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,842310,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,842131,A000,World,1.25,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,841989,A000,World,1.4,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,841919,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,821591,A000,World,2.3,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,820240,A000,World,3.6,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,811231,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,810610,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,810294,A000,World,2.13,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,790120,A000,World,3,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,760429,A000,World,3.53333333333333,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,741820,A000,World,3,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,741510,A000,World,2.5,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,741220,A000,World,3,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,740931,A000,World,2.56666666666667,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,740929,A000,World,1.9,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,740321,A000,World,1,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,732190,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,731813,A000,World,5.7,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,731600,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,731290,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,731100,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,722870,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,722300,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,721810,A000,World,0,WTO IDB
